group,quest1,quest2,quest3,quest4,quest5,quest6,quest7,quest8,quest9
before,4,5,4,1,1,5,5,5,2
before,5,5,4,2,3,4,5,5,3
before,4,4,3,1,1,5,5,5,2
before,4,4,3,4,2,4,5,4,3
before,4,4,4,4,4,4,4,4,4
before,4,4,3,3,3,4,4,4,2
before,5,5,4,2,2,2,5,5,5
before,5,5,5,3,2,5,5,5,3
before,4,4,4,4,4,4,4,4,4
before,4,5,3,2,2,3,5,4,4
before,4,4,4,4,1,5,5,5,3
before,5,3,2,2,5,5,5,5,5
before,4,4,4,4,3,4,5,5,4
after,5,5,5,5,5,5,5,5,5
after,5,5,5,4,5,5,5,5,4
after,5,5,5,5,5,5,5,5,5
after,4,5,5,3,5,5,5,5,3
after,4,4,4,4,4,4,4,3,4
after,5,5,5,4,5,5,5,5,4
after,5,5,5,4,4,5,5,5,4
after,5,5,5,4,5,5,5,5,5
after,5,5,5,5,5,5,5,5,5
after,5,5,5,5,4,4,5,5,4
after,4,3,3,3,5,5,5,5,3
after,5,4,4,5,5,5,5,5,5
after,4,4,4,5,4,4,5,5,5
